Date,Open,High,Low,Close
2013-01-02,19.779285,19.821428,19.343929,19.608213
2013-01-03,19.567142,19.631071,19.321428,19.360714
2013-01-04,19.1775,19.236786,18.779642,18.821428
2013-01-07,18.642857,18.90357,18.4,18.710714
2013-01-08,18.900356,18.996071,18.616072,18.76107
2013-01-09,18.660713,18.750357,18.428213,18.467857
2013-01-10,18.876785,18.882856,18.411428,18.696787
2013-01-11,18.607143,18.761429,18.536428,18.582144
2013-01-14,17.952856,18.125,17.803928,17.919643
2013-01-15,17.796429,17.821072,17.263571,17.354286
2013-01-16,17.665714,18.194286,17.589287,18.074642
2013-01-17,18.225357,18.241072,17.929644,17.952856
2013-01-18,17.804285,17.936428,17.728571,17.857143
2013-01-22,18.02,18.138571,17.736786,18.0275
2013-01-23,18.171785,18.3925,18.0275,18.3575
2013-01-24,16.428572,16.633215,16.080357,16.089287
2013-01-25,16.131786,16.293928,15.535714,15.71
2013-01-28,15.636786,16.186071,15.566429,16.065357
2013-01-29,16.375,16.435715,16.147142,16.366785
2013-01-30,16.321428,16.521429,16.232143,16.315357
2013-01-31,16.320715,16.402857,16.249287,16.2675
2013-02-01,16.396786,16.41,16.012501,16.200714
2013-02-04,16.211071,16.283571,15.785714,15.797143
2013-02-05,15.858929,16.419287,15.793571,16.351429
2013-02-06,16.3025,16.660713,16.16357,16.333929
2013-02-07,16.544643,16.785713,16.218571,16.722143
2013-02-08,16.928572,17.100357,16.723213,16.963572
2013-02-11,17.017857,17.319286,16.901787,17.140356
2013-02-12,17.125357,17.227858,16.705,16.710714
2013-02-13,16.686071,16.915714,16.543571,16.678928
2013-02-14,16.59,16.844286,16.572144,16.663929
2013-02-15,16.744642,16.79143,16.425714,16.434286
2013-02-19,16.467857,16.526072,16.208929,16.428213
2013-02-20,16.346071,16.346071,16.02857,16.030357
2013-02-21,15.928571,16.041786,15.815,15.930714
2013-02-22,16.044643,16.128571,15.95,16.100357
2013-02-25,16.208929,16.254286,15.806071,15.814286
2013-02-26,15.850714,16.126429,15.630714,16.034643
2013-02-27,16.015356,16.158571,15.7375,15.8775
2013-02-28,15.858929,15.995357,15.764286,15.764286
2013-03-01,15.642857,15.649286,15.356429,15.373929
2013-03-04,15.278571,15.292857,14.964286,15.001786
2013-03-05,15.052857,15.5425,15.026786,15.397857
2013-03-06,15.518214,15.544643,15.158214,15.202143
2013-03-07,15.160714,15.428929,15.037857,15.377857
2013-03-08,15.35,15.551071,15.3075,15.418571
2013-03-11,15.348214,15.678929,15.183571,15.638214
2013-03-12,15.557143,15.674286,15.270357,15.301071
2013-03-13,15.301786,15.517857,15.191429,15.298214
2013-03-14,15.458214,15.522857,15.373214,15.446429
2013-03-15,15.640357,15.865357,15.616071,15.845
2013-03-18,15.766071,16.337856,15.757143,16.275715
2013-03-19,16.410713,16.463215,16.017857,16.231787
2013-03-20,16.33643,16.343929,16.056786,16.145714
2013-03-21,16.079287,16.356428,16.075001,16.168928
2013-03-22,16.235001,16.503571,16.182501,16.496786
2013-03-25,16.596071,16.78393,16.492144,16.556429
2013-03-26,16.622856,16.637142,16.4475,16.469286
2013-03-27,16.302143,16.314285,16.0975,16.145714
2013-03-28,16.065001,16.136429,15.772143,15.809286
